State,Measure Names,Year of Year,Measure Values
Georgia,Transit Fatalities,2017,4
Georgia,Recreational boating fatalities,2017,14
Georgia,Rail fatalities,2017,19
Georgia,Highway Fatalities,2017,1540
Georgia,Transit Fatalities,2016,9
Georgia,Recreational boating fatalities,2016,22
Georgia,Rail fatalities,2016,23
Georgia,Highway Fatalities,2016,1556
Georgia,Transit Fatalities,2015,2
Georgia,Recreational boating fatalities,2015,22
Georgia,Rail fatalities,2015,24
Georgia,Highway Fatalities,2015,1432
Georgia,Transit Fatalities,2014,4
Georgia,Recreational boating fatalities,2014,13
Georgia,Rail fatalities,2014,25
Georgia,Highway Fatalities,2014,1164
Georgia,Transit Fatalities,2013,2
Georgia,Recreational boating fatalities,2013,16
Georgia,Rail fatalities,2013,28
Georgia,Highway Fatalities,2013,1180
Georgia,Transit Fatalities,2012,3
Georgia,Recreational boating fatalities,2012,13
Georgia,Rail fatalities,2012,21
Georgia,Highway Fatalities,2012,1192
Georgia,Transit Fatalities,2011,7
Georgia,Recreational boating fatalities,2011,14
Georgia,Rail fatalities,2011,19
Georgia,Highway Fatalities,2011,1226
Georgia,Transit Fatalities,2010,5
Georgia,Recreational boating fatalities,2010,19
Georgia,Rail fatalities,2010,29
Georgia,Highway Fatalities,2010,1247
Hawaii,Transit Fatalities,2023,1
Hawaii,Recreational boating fatalities,2023,
Hawaii,Rail fatalities,2023,0
Hawaii,Highway Fatalities,2023,
Hawaii,Transit Fatalities,2022,0
Hawaii,Recreational boating fatalities,2022,4
Hawaii,Rail fatalities,2022,0
Hawaii,Highway Fatalities,2022,
Hawaii,Transit Fatalities,2021,0
Hawaii,Recreational boating fatalities,2021,5
Hawaii,Rail fatalities,2021,0
Hawaii,Highway Fatalities,2021,94
Hawaii,Transit Fatalities,2020,0
Hawaii,Recreational boating fatalities,2020,1
Hawaii,Rail fatalities,2020,0
Hawaii,Highway Fatalities,2020,85
Hawaii,Transit Fatalities,2019,0
Hawaii,Recreational boating fatalities,2019,4
Hawaii,Rail fatalities,2019,0
Hawaii,Highway Fatalities,2019,108
Hawaii,Transit Fatalities,2018,0
Hawaii,Recreational boating fatalities,2018,1
Hawaii,Rail fatalities,2018,0
Hawaii,Highway Fatalities,2018,117
Hawaii,Transit Fatalities,2017,0
Hawaii,Recreational boating fatalities,2017,3
Hawaii,Rail fatalities,2017,0
Hawaii,Highway Fatalities,2017,107
Hawaii,Transit Fatalities,2016,1
Hawaii,Recreational boating fatalities,2016,8
Hawaii,Rail fatalities,2016,0
Hawaii,Highway Fatalities,2016,120
Hawaii,Transit Fatalities,2015,2
Hawaii,Recreational boating fatalities,2015,5
Hawaii,Rail fatalities,2015,0
Hawaii,Highway Fatalities,2015,93
Hawaii,Transit Fatalities,2014,3
Hawaii,Recreational boating fatalities,2014,3
Hawaii,Rail fatalities,2014,0
Hawaii,Highway Fatalities,2014,95
Hawaii,Transit Fatalities,2013,0
Hawaii,Recreational boating fatalities,2013,4
Hawaii,Rail fatalities,2013,0
Hawaii,Highway Fatalities,2013,102
Hawaii,Transit Fatalities,2012,4
Hawaii,Recreational boating fatalities,2012,5
Hawaii,Rail fatalities,2012,0
Hawaii,Highway Fatalities,2012,125
Hawaii,Transit Fatalities,2011,1
Hawaii,Recreational boating fatalities,2011,6
